Type,Disease,Year,variable,value
Genes,Multiple Sclerosis,1998,Prevalence p_pe,6.04212979265805e-08
Genes,Parkinson Disease,1998,Prevalence p_pe,0.0475180110096165
Genes,Alzheimer's Disease,1997,Prevalence p_pe,0.812773726033218
Genes,Multiple Sclerosis,1997,Prevalence p_pe,3.22771926087051e-07
Genes,Parkinson Disease,1997,Prevalence p_pe,0.0726726292910757
Genes,Alzheimer's Disease,1999,Prevalence p_pe,0.695189457707247
Genes,Multiple Sclerosis,1999,Prevalence p_pe,3.35925229504891e-08
Genes,Parkinson Disease,1999,Prevalence p_pe,0.0292298034456084
Genes,Alzheimer's Disease,2000,Prevalence p_pe,0.656646889176241
Genes,Multiple Sclerosis,2000,Prevalence p_pe,2.63928446856056e-08
Genes,Parkinson Disease,2000,Prevalence p_pe,0.0292827625750679
Genes,Alzheimer's Disease,2001,Prevalence p_pe,0.586347095580333
Genes,Multiple Sclerosis,2001,Prevalence p_pe,1.70326142003266e-08
Genes,Parkinson Disease,2001,Prevalence p_pe,0.0247619493196097
Genes,Alzheimer's Disease,2002,Prevalence p_pe,0.555153302023783
Genes,Multiple Sclerosis,2002,Prevalence p_pe,1.51413026690774e-08
Genes,Parkinson Disease,2002,Prevalence p_pe,0.0270751300410067
Genes,Alzheimer's Disease,2003,Prevalence p_pe,0.417182893054531
Genes,Multiple Sclerosis,2003,Prevalence p_pe,2.608046881426e-08
Genes,Parkinson Disease,2003,Prevalence p_pe,0.0205496353186423
Genes,Alzheimer's Disease,2004,Prevalence p_pe,0.397963688721776
Genes,Multiple Sclerosis,2004,Prevalence p_pe,4.05870688736522e-08
Genes,Parkinson Disease,2004,Prevalence p_pe,0.0231104059872798
Genes,Alzheimer's Disease,2005,Prevalence p_pe,0.35979732575266
Genes,Multiple Sclerosis,2005,Prevalence p_pe,3.75793328834255e-08
Genes,Parkinson Disease,2005,Prevalence p_pe,0.017283707841976
Genes,Alzheimer's Disease,2006,Prevalence p_pe,0.334269483623951
Genes,Multiple Sclerosis,2006,Prevalence p_pe,4.57622430342428e-08
Genes,Parkinson Disease,2006,Prevalence p_pe,0.0151750783303336
Genes,Alzheimer's Disease,2007,Prevalence p_pe,0.298829930930124
Genes,Multiple Sclerosis,2007,Prevalence p_pe,1.27978422376625e-07
Genes,Parkinson Disease,2007,Prevalence p_pe,0.0135360325512354
Genes,Alzheimer's Disease,2008,Prevalence p_pe,0.220250759066899
Genes,Multiple Sclerosis,2008,Prevalence p_pe,1.1352156486246e-07
Genes,Parkinson Disease,2008,Prevalence p_pe,0.010244012745205
Genes,Alzheimer's Disease,2009,Prevalence p_pe,0.195306742876955
Genes,Multiple Sclerosis,2009,Prevalence p_pe,1.82900263834467e-07
Genes,Parkinson Disease,2009,Prevalence p_pe,0.0096312944450658
Genes,Alzheimer's Disease,2010,Prevalence p_pe,0.170250841510217
Genes,Multiple Sclerosis,2010,Prevalence p_pe,1.31102620113923e-07
Genes,Parkinson Disease,2010,Prevalence p_pe,0.00758538447189095
Genes,Alzheimer's Disease,2011,Prevalence p_pe,0.164731642701777
Genes,Multiple Sclerosis,2011,Prevalence p_pe,1.10628040816469e-07
