State,Region,Disease,KG_Pest,Incidence,Prevalence
Montana,West,Parkinson Disease,114457293.8,54.1639651610159,201.108197772322
Nebraska,Midwest,Alzheimer's Disease,410341057.65,196.090972557107,1436.4984976957
Nebraska,Midwest,Brain Neoplasms,395222720.45,9.32393399866066,28.1530815008694
Nebraska,Midwest,Epilepsy,407862900.15,35.5221218446176,292.473502123433
Nebraska,Midwest,Migraine Disorders,358370211.35,1168.62558499515,16829.9015184492
Nebraska,Midwest,Multiple Sclerosis,409187777.7,3.85416758491753,141.164685288367
Nebraska,Midwest,Parkinson Disease,409702608.1,39.6195704473452,150.544389361403
Nevada,West,Alzheimer's Disease,6589502.9,138.112964584795,977.427242714465
Nevada,West,Brain Neoplasms,5403191.05,7.35310040341174,20.0833988637153
Nevada,West,Epilepsy,6240007.25,39.7481361746944,363.457094919837
Nevada,West,Migraine Disorders,4114358.2,1187.73470493987,17543.0725276925
Nevada,West,Multiple Sclerosis,6476682.9,3.71626374048273,139.702696479683
Nevada,West,Parkinson Disease,6599687.6,42.4360341702031,150.98461046691
New Hampshire,Northeast,Alzheimer's Disease,1317703.1,230.593101614132,1709.58248353359
New Hampshire,Northeast,Brain Neoplasms,1292402.9,10.0895298058054,29.4810257058838
New Hampshire,Northeast,Epilepsy,1296410.15,35.9753590135229,324.595405648681
New Hampshire,Northeast,Migraine Disorders,1131778.4,1097.52995141108,17334.9696085837
New Hampshire,Northeast,Multiple Sclerosis,1311941.65,3.87485410247806,173.412467837696
New Hampshire,Northeast,Parkinson Disease,1316865.4,56.2778037994777,220.098634012693
New Jersey,Northeast,Alzheimer's Disease,12795145.8,211.942200507771,1551.39029609126
New Jersey,Northeast,Brain Neoplasms,12411635.15,10.5417266913429,45.2646187971105
New Jersey,Northeast,Epilepsy,12492839.05,43.1546228309835,400.420909399208
New Jersey,Northeast,Migraine Disorders,11255506.95,1141.61630270974,17403.6903922091
New Jersey,Northeast,Multiple Sclerosis,12746000.95,3.28189398245924,135.141932580486
New Jersey,Northeast,Parkinson Disease,12788635.6,46.8159487019193,192.849516398335
New Mexico,Southwest,Alzheimer's Disease,23147682.6,205.662049525738,1481.98151579545
